id,group,passive_count,word_count,I_liwc,I_c,wc_c
hzn6t9,dep,0,26,5,-11.4937859608746,-144.235903337169
hzn3o8,dep,1,71,12,-4.49378596087457,-99.2359033371692
hzn3hk,dep,1,315,28,11.5062140391254,144.764096662831
hzn1uc,dep,6,346,52,35.5062140391254,175.764096662831
hzmq5f,dep,1,229,20,3.50621403912543,58.7640966628308
hzmohk,dep,0,65,4,-12.4937859608746,-105.235903337169
hzmn24,dep,0,10,2,-14.4937859608746,-160.235903337169
hzmmzp,dep,0,125,14,-2.49378596087457,-45.2359033371692
hzmly5,dep,0,65,9,-7.49378596087457,-105.235903337169
hzmlv6,dep,0,7,0,-16.4937859608746,-163.235903337169
hzmli4,dep,5,123,13,-3.49378596087457,-47.2359033371692
hzm50l,dep,3,76,7,-9.49378596087457,-94.2359033371692
hzm2z5,dep,1,224,23,6.50621403912543,53.7640966628308
hzm1wm,dep,1,589,78,61.5062140391254,418.764096662831
hzm1ds,dep,6,908,123,106.506214039125,737.764096662831
hzm0j5,dep,0,66,9,-7.49378596087457,-104.235903337169
hzlvjp,dep,9,987,107,90.5062140391254,816.764096662831
hzlswv,dep,1,238,28,11.5062140391254,67.7640966628308
hzls77,dep,6,541,31,14.5062140391254,370.764096662831
hzls60,dep,0,87,12,-4.49378596087457,-83.2359033371692
hzlry4,dep,5,545,44,27.5062140391254,374.764096662831
hzlqyb,dep,1,173,20,3.50621403912543,2.76409666283084
hzlly2,dep,1,265,32,15.5062140391254,94.7640966628308
hzlkeg,dep,1,94,15,-1.49378596087457,-76.2359033371692
hzliip,dep,0,104,7,-9.49378596087457,-66.2359033371692
hzldna,dep,0,67,12,-4.49378596087457,-103.235903337169
hzlcln,dep,0,163,29,12.5062140391254,-7.23590333716916
hzl71i,dep,0,225,34,17.5062140391254,54.7640966628308
hzl5zd,dep,0,27,0,-16.4937859608746,-143.235903337169
hzl5bg,dep,1,297,32,15.5062140391254,126.764096662831
hzl57v,dep,1,139,24,7.50621403912543,-31.2359033371692
hzl1ir,dep,0,463,45,28.5062140391254,292.764096662831
hzl1f3,dep,1,486,66,49.5062140391254,315.764096662831
hzl0uk,dep,0,47,4,-12.4937859608746,-123.235903337169
hzkwra,dep,0,172,8,-8.49378596087457,1.76409666283084
hzkvst,dep,1,239,26,9.50621403912543,68.7640966628308
hzkufs,dep,4,401,57,40.5062140391254,230.764096662831
hzkr5r,dep,5,911,54,37.5062140391254,740.764096662831
hzkqpa,dep,2,30,4,-12.4937859608746,-140.235903337169
hzkp7s,dep,1,144,17,0.506214039125432,-26.2359033371692
hzkoec,dep,0,123,12,-4.49378596087457,-47.2359033371692
hzkmc7,dep,1,66,6,-10.4937859608746,-104.235903337169
hzkdpu,dep,4,623,77,60.5062140391254,452.764096662831
hzkcux,dep,0,185,25,8.50621403912543,14.7640966628308
hzk6h9,dep,4,458,20,3.50621403912543,287.764096662831
hzk5of,dep,2,175,26,9.50621403912543,4.76409666283084
hzk519,dep,0,53,4,-12.4937859608746,-117.235903337169
hzjwxo,dep,0,8,3,-13.4937859608746,-162.235903337169
hzjt8d,dep,0,145,14,-2.49378596087457,-25.2359033371692
hzjsea,dep,0,184,8,-8.49378596087457,13.7640966628308
hzjpqp,dep,1,520,86,69.5062140391254,349.764096662831
hzjndd,dep,0,35,8,-8.49378596087457,-135.235903337169
hzjkoh,dep,1,148,15,-1.49378596087457,-22.2359033371692
hzjjez,dep,3,301,21,4.50621403912543,130.764096662831
hzjgk2,dep,1,39,2,-14.4937859608746,-131.235903337169
hzjcfy,dep,0,163,13,-3.49378596087457,-7.23590333716916
hzjam0,dep,0,110,19,2.50621403912543,-60.2359033371692
hzj83a,dep,0,91,11,-5.49378596087457,-79.2359033371692
hzj7v7,dep,2,635,80,63.5062140391254,464.764096662831
hzj3fw,dep,7,847,97,80.5062140391254,676.764096662831
hzj0tr,dep,1,60,9,-7.49378596087457,-110.235903337169
hzj03k,dep,2,414,4,-12.4937859608746,243.764096662831
hzizhp,dep,0,100,10,-6.49378596087457,-70.2359033371692
hzixih,dep,0,56,4,-12.4937859608746,-114.235903337169
hziwct,dep,0,37,2,-14.4937859608746,-133.235903337169
hziv89,dep,2,291,49,32.5062140391254,120.764096662831
hzipfz,dep,4,355,31,14.5062140391254,184.764096662831
hzioop,dep,0,29,1,-15.4937859608746,-141.235903337169
hzink0,dep,1,171,18,1.50621403912543,0.764096662830838
hzil2j,dep,0,101,12,-4.49378596087457,-69.2359033371692
hzij2l,dep,3,183,23,6.50621403912543,12.7640966628308
hzigv9,dep,1,308,36,19.5062140391254,137.764096662831
hzigtn,dep,1,74,2,-14.4937859608746,-96.2359033371692
hzieyy,dep,0,50,5,-11.4937859608746,-120.235903337169
hzienm,dep,4,233,24,7.50621403912543,62.7640966628308
hzibsu,dep,0,184,16,-0.493785960874568,13.7640966628308
hzibig,dep,0,92,16,-0.493785960874568,-78.2359033371692
hziabj,dep,0,178,30,13.5062140391254,7.76409666283084
hzi8cm,dep,0,5,0,-16.4937859608746,-165.235903337169
hzht1e,dep,0,18,2,-14.4937859608746,-152.235903337169
hzho5s,dep,0,176,24,7.50621403912543,5.76409666283084
hzhnoy,dep,2,448,63,46.5062140391254,277.764096662831
hzhmiw,dep,0,164,15,-1.49378596087457,-6.23590333716916
hzhlay,dep,10,656,77,60.5062140391254,485.764096662831
hzhjtn,dep,0,11,3,-13.4937859608746,-159.235903337169
hzhd0a,dep,0,66,9,-7.49378596087457,-104.235903337169
hzhcrg,dep,0,178,22,5.50621403912543,7.76409666283084
hzhavv,dep,1,321,38,21.5062140391254,150.764096662831
hzh5kb,dep,2,78,4,-12.4937859608746,-92.2359033371692
hzh3mb,dep,0,11,0,-16.4937859608746,-159.235903337169
hzh3fw,dep,2,313,32,15.5062140391254,142.764096662831
hzh0gs,dep,0,86,11,-5.49378596087457,-84.2359033371692
hzgz7b,dep,0,48,4,-12.4937859608746,-122.235903337169
hzgubj,dep,0,85,5,-11.4937859608746,-85.2359033371692
hzgqqt,dep,3,407,31,14.5062140391254,236.764096662831
hzgqf9,dep,0,10,0,-16.4937859608746,-160.235903337169
hzgmzt,dep,1,205,33,16.5062140391254,34.7640966628308
hzgjm8,dep,3,760,85,68.5062140391255,589.764096662831
hzg93b,dep,2,236,27,10.5062140391254,65.7640966628308
hzg8gv,dep,11,535,61,44.5062140391254,364.764096662831
hzg7ba,dep,2,175,6,-10.4937859608746,4.76409666283084
hzg65r,dep,2,282,13,-3.49378596087457,111.764096662831
hzg5kw,dep,3,53,11,-5.49378596087457,-117.235903337169
hzg53e,dep,1,108,6,-10.4937859608746,-62.2359033371692
hzg1ow,dep,1,82,7,-9.49378596087457,-88.2359033371692
hzg1fr,dep,0,38,8,-8.49378596087457,-132.235903337169
hzfxxd,dep,0,27,3,-13.4937859608746,-143.235903337169
hzfx5g,dep,0,130,23,6.50621403912543,-40.2359033371692
hzftlj,dep,0,19,0,-16.4937859608746,-151.235903337169
hzfqst,dep,1,67,8,-8.49378596087457,-103.235903337169
hzfak2,dep,3,570,34,17.5062140391254,399.764096662831
hzf49o,dep,2,513,70,53.5062140391254,342.764096662831
hzf40u,dep,1,60,8,-8.49378596087457,-110.235903337169
hzezde,dep,1,74,6,-10.4937859608746,-96.2359033371692
