state_ab,prop_boosted,mandate_type,prop_vacc_center
ut,0.417208360713465,ban,0.172004081245221
va,0.461204169292523,mandate,0.184904987637044
vt,0.565931066535398,mandate,0.202120401518207
wa,0.451521682504965,mandate,0.179119122415711
wi,0.533486740693535,mandate,0.159257035943898
wy,0.470219288975239,ban,0.126029297270101
ak,0.445568092832443,ban,0.140618587231065
al,0.400686037860063,ban,0.135808205225784
ar,0.452478777860298,ban,0.15162932415417
az,0.401738731087552,ban,0.162251764739366
ca,0.446490146676202,mandate,0.186992625119172
co,0.519339405578113,mandate,0.183323078693198
ct,0.482849662053685,mandate,0.197314810684649
de,0.442546136121859,mandate,0.173896851597527
fl,0.431826998918143,ban,0.183459460835631
ga,0.393585191472561,ban,0.1475417284344
ia,0.550237983312328,ban,0.152922154203959
id,0.489963253690403,ban,0.105056995033041
il,0.540510085080602,mandate,0.188434922480636
in,0.431638871964241,ban,0.136185990748588
ks,0.457499005616811,ban,0.155310814030125
ma,0.474943843270942,mandate,0.198077691262645
md,0.475558067917901,mandate,0.187718147566316
mi,0.505094551763872,ban,0.146345144375164
mn,0.587100003135471,mandate,0.177769656906585
mo,0.449849060940049,ban,0.148487566868715
mt,0.498808639146384,ban,0.14085345623831
nc,0.276873969433043,mandate,0.162606425738106
nd,0.493937663146863,ban,0.144091048375475
nh,0.170773177560666,ban,0.181328130886983
nj,0.436395508539189,mandate,0.182273097465651
nm,0.46892209212791,mandate,0.164316900228635
nv,0.396840987023122,mandate,0.156269634243939
ny,0.440505171666475,mandate,0.197311045760719
ok,0.417578274547513,ban,0.149837149396855
or,0.48214129697126,mandate,0.18288796435813
pa,0.411697509427602,mandate,0.173643564367172
sc,0.433671886095886,ban,0.151526553324762
sd,0.433765396196382,ban,0.145243028522611
tn,0.486208429223021,ban,0.148459312432495
tx,0.390729633378004,ban,0.162901165092418
ut,0.418261972653111,ban,0.175639506150134
va,0.484441981596913,mandate,0.188314385997525
vt,0.586373588866228,mandate,0.206222998430064
wa,0.472119503577832,mandate,0.18209969416347
wi,0.558037292659485,mandate,0.162439383172398
wy,0.483352268537612,ban,0.128706641283421
ak,0.462476728703375,ban,0.1435749131979
al,0.41994169402325,ban,0.138846224639686
ar,0.47705204321055,ban,0.155161517726026
az,0.428048188955846,ban,0.166853075864537
ca,0.478211380040864,mandate,0.192341539546323
co,0.543495483756254,mandate,0.187306526039965
ct,0.511778844641516,mandate,0.202149684912946
de,0.462803379910051,mandate,0.177900958018124
fl,0.454209554307785,ban,0.187153637004818
ga,0.410409740017512,ban,0.150491929809756
ia,0.567805521302877,ban,0.155933718070083
id,0.509083591266176,ban,0.107011749136393
il,0.572363207133739,mandate,0.193158710471915
in,0.458244327712779,ban,0.139253169687564
ks,0.468751871851343,ban,0.159357220671258
ma,0.506499523107312,mandate,0.202613774080447
md,0.505245175051174,mandate,0.193215207641937
mi,0.529955999001166,ban,0.15001292392626
mn,0.615362010632606,mandate,0.182094453983638
mo,0.467992557529717,ban,0.151487121858363
mt,0.514728612269698,ban,0.143325267901019
nc,0.291624057186643,mandate,0.16602795909674
nd,0.508269975969675,ban,0.147292569262924
nh,0.190964109232347,ban,0.185354491545401
nj,0.463611703467116,mandate,0.187483072687018
nm,0.491116486608028,mandate,0.169052556879593
nv,0.420016790948902,mandate,0.1604413053668
ny,0.46779242319821,mandate,0.202947536002347
ok,0.439145544450653,ban,0.153307341189734
or,0.512536293231096,mandate,0.186692987501138
pa,0.434835392660824,mandate,0.178880081178516
sc,0.456096116477276,ban,0.154754555242206
sd,0.4502888046518,ban,0.149269342798432
tn,0.504464251414569,ban,0.151089590165944
tx,0.413505556119058,ban,0.166936862143178
ut,0.439726000938909,ban,0.17984970161841
va,0.510309374501008,mandate,0.192227924138388
vt,0.615489098592095,mandate,0.211208626678536
wa,0.500403134633696,mandate,0.186074481993123
wi,0.587627448406312,mandate,0.166460201852316
wy,0.498711628759668,ban,0.131707168530246
ak,0.478729973943209,ban,0.151555454468323
al,0.433625670337282,ban,0.143872617481326
ar,0.491259719432404,ban,0.159210630401203
az,0.44923348879794,ban,0.171442181761452
ca,0.506010298243154,mandate,0.199976495002682
co,0.56507495812724,mandate,0.193430808805419
ct,0.535672773341688,mandate,0.206665482797139
de,0.482117593977886,mandate,0.183526217411259
