state_ab,flu_vacc_est,mandate_type,cvd_vac_prop_cent
ca,0.486311,mandate,0.0568494230308319
co,0.580662,mandate,0.0550249597997197
ct,0.662607,mandate,0.133370919636291
de,0.494051,mandate,0.0260432633410862
fl,0.359057,ban,0.0258887630767024
ga,0.429135,ban,-0.0994040768006433
id,0.422195,ban,-0.157724410331902
il,0.498611,mandate,0.0296591053559776
in,0.463666,ban,-0.090841653767943
ia,0.543977,ban,-0.02259195147683
ks,0.492614,ban,-0.0402838664511964
md,0.634914,mandate,0.0834174369479963
ma,0.676103,mandate,0.126289895145363
mi,0.498201,ban,-0.0428794749618634
mn,0.549506,mandate,0.0412589650644815
mo,0.521855,ban,-0.077939858435194
mt,0.445793,ban,-0.0743419318399987
nv,0.313538,mandate,-0.0451075571254166
nh,0.574767,ban,0.0573013956271014
nj,0.580941,mandate,0.0688854363148739
nm,0.508186,mandate,0.0503377313090819
ny,0.544907,mandate,0.08662197622239
nc,0.484215,mandate,-0.0353569943500313
nd,0.495196,ban,-0.0915662795466662
ok,0.404501,ban,-0.0711931608902622
or,0.458128,mandate,0.0549766108694055
pa,0.562677,mandate,0.0232612925517814
sc,0.423209,ban,-0.0712200329316566
sd,0.541882,ban,-0.0353862447371053
tn,0.468919,ban,-0.098619777016345
tx,0.486153,ban,-0.0388336845105035
ut,0.505782,ban,-0.0296787089106368
vt,0.586376,mandate,0.146834395838795
va,0.583465,mandate,0.0671440169021381
wa,0.531133,mandate,0.0653948040675379
wi,0.51047,mandate,0.00646033156319636
wy,0.35494,ban,-0.129251938132219
al,0.419708,ban,-0.137853195286706
ak,0.391959,ban,-0.0413223554538735
az,0.432713,ban,-0.0203541751457731
ar,0.510653,ban,-0.0892618072968938
ca,0.486311,mandate,0.0621983374579824
co,0.580662,mandate,0.0590084071464864
ct,0.662607,mandate,0.138205793864588
de,0.494051,mandate,0.0300473697616831
fl,0.359477,ban,0.0295829392458897
ga,0.429135,ban,-0.0964538754252871
id,0.424795,ban,-0.155769656228549
il,0.502448,mandate,0.034382893347257
in,0.463666,ban,-0.0877744748289673
ia,0.543977,ban,-0.0195803876107067
ks,0.492614,ban,-0.0362374598100641
md,0.635285,mandate,0.0889144970236177
ma,0.676103,mandate,0.130825977963166
mi,0.498201,ban,-0.039211695410767
mn,0.549613,mandate,0.0455837621415343
mo,0.521855,ban,-0.0749403034455459
mt,0.445793,ban,-0.0718701201772903
nv,0.32394,mandate,-0.0409358860025555
nh,0.574767,ban,0.0613277562855188
nj,0.580941,mandate,0.0740954115362412
nm,0.508186,mandate,0.0550733879600399
ny,0.545159,mandate,0.0922584664640181
